GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TP Techniques de Test,fr.univavignon.pokedex.api,Team,0,34,0,0,0,4,0,1,0,1
TP Techniques de Test,fr.univavignon.pokedex.api,PokemonFactory,55,0,0,0,12,0,2,0,2,0
TP Techniques de Test,fr.univavignon.pokedex.api,PokedexException,0,4,0,0,0,2,0,1,0,1
TP Techniques de Test,fr.univavignon.pokedex.api,PokemonMetadataProvider,86,0,12,0,19,0,9,0,3,0
TP Techniques de Test,fr.univavignon.pokedex.api,Pokedex,81,0,8,0,21,0,12,0,8,0
TP Techniques de Test,fr.univavignon.pokedex.api,PokemonMetadata,0,33,0,0,0,12,0,6,0,6
TP Techniques de Test,fr.univavignon.pokedex.api,PokemonTrainerFactory,37,0,0,0,12,0,6,0,6,0
TP Techniques de Test,fr.univavignon.pokedex.api,PokedexFactory,9,0,0,0,2,0,2,0,2,0
TP Techniques de Test,fr.univavignon.pokedex.api,PokemonTrainer,0,21,0,0,0,8,0,4,0,4
TP Techniques de Test,fr.univavignon.pokedex.api,PokemonComparators,0,54,0,0,0,8,0,3,0,3
TP Techniques de Test,fr.univavignon.pokedex.api,Pokemon,0,38,0,0,0,12,0,6,0,6
